,time,volume,open,close,high,low
0,2022-02-01 07:00:00+00:00,413.93,76.57,76.12,76.69,75.71
1,2022-02-01 08:00:00+00:00,549.99,76.1,76.19,76.58,75.88
2,2022-02-01 09:00:00+00:00,1371.17,76.16,75.94,76.66,75.76
3,2022-02-01 10:00:00+00:00,536.9,75.95,75.46,75.95,75.14
4,2022-02-01 11:00:00+00:00,334.02,75.46,75.73,75.82,75.4
5,2022-02-01 12:00:00+00:00,185.08,75.73,75.53,75.93,75.45
6,2022-02-01 13:00:00+00:00,772.89,75.53,76.34,76.53,75.49
7,2022-02-01 14:00:00+00:00,302.98,76.37,75.88,76.39,75.8
8,2022-02-01 15:00:00+00:00,472.89,75.88,76.26,76.26,75.53
9,2022-02-01 16:00:00+00:00,168.89,76.26,76.07,76.45,75.73
10,2022-02-01 17:00:00+00:00,142.64,76.01,76.1,76.25,75.77
11,2022-02-01 18:00:00+00:00,48.7,76.11,76.23,76.33,76.05
12,2022-02-01 19:00:00+00:00,24.26,76.23,76.29,76.34,76.09
13,2022-02-01 20:00:00+00:00,77.95,76.29,76.67,76.67,76.24
14,2022-02-02 07:00:00+00:00,381.23,77.46,77.19,77.57,77.11
15,2022-02-02 08:00:00+00:00,1100.36,77.18,77.29,78.34,77.05
16,2022-02-02 09:00:00+00:00,166.0,77.29,77.11,77.54,77.08
17,2022-02-02 10:00:00+00:00,450.07,77.11,77.12,77.3,76.55
18,2022-02-02 11:00:00+00:00,315.59,77.14,77.47,77.66,76.81
19,2022-02-02 12:00:00+00:00,496.19,77.47,77.3,77.86,77.19
20,2022-02-02 13:00:00+00:00,377.89,77.29,77.31,77.47,76.87
21,2022-02-02 14:00:00+00:00,911.27,77.3,77.71,77.74,76.9
22,2022-02-02 15:00:00+00:00,625.04,77.7,77.29,77.73,77.06
23,2022-02-02 16:00:00+00:00,97.9,77.29,77.43,77.56,77.02
24,2022-02-02 17:00:00+00:00,57.09,77.41,77.44,77.54,77.31
25,2022-02-02 18:00:00+00:00,56.67,77.46,77.68,77.81,77.34
26,2022-02-02 19:00:00+00:00,26.9,77.68,77.76,77.78,77.53
27,2022-02-02 20:00:00+00:00,99.25,77.74,77.96,78.07,77.64
28,2022-02-03 07:00:00+00:00,384.44,77.05,77.67,77.74,76.84
29,2022-02-03 08:00:00+00:00,1133.24,77.67,78.64,79.13,77.67
30,2022-02-03 09:00:00+00:00,1262.7,78.68,77.86,79.03,77.82
31,2022-02-03 10:00:00+00:00,886.94,77.85,77.97,78.28,77.36
32,2022-02-03 11:00:00+00:00,494.66,77.96,77.85,78.24,77.76
33,2022-02-03 12:00:00+00:00,521.6,77.85,78.13,78.23,77.8
34,2022-02-03 13:00:00+00:00,691.96,78.14,77.62,78.26,77.37
35,2022-02-03 14:00:00+00:00,1314.95,77.62,77.26,77.92,76.97
36,2022-02-03 15:00:00+00:00,794.42,77.24,77.53,77.93,77.23
37,2022-02-03 16:00:00+00:00,190.43,77.63,77.07,77.92,77.01
38,2022-02-03 17:00:00+00:00,99.52,77.1,77.24,77.35,76.84
39,2022-02-03 18:00:00+00:00,63.39,77.21,77.5,77.5,77.11
40,2022-02-03 19:00:00+00:00,49.97,77.5,77.47,77.66,77.3
41,2022-02-03 20:00:00+00:00,102.77,77.47,77.77,77.83,77.31
42,2022-02-04 07:00:00+00:00,987.06,78.82,78.82,79.39,78.43
43,2022-02-04 08:00:00+00:00,3664.11,78.78,79.69,80.73,78.49
44,2022-02-04 09:00:00+00:00,752.29,79.69,79.9,80.51,79.46
45,2022-02-04 10:00:00+00:00,516.25,79.91,79.66,80.19,79.51
46,2022-02-04 11:00:00+00:00,579.13,79.66,79.39,79.86,79.33
47,2022-02-04 12:00:00+00:00,443.21,79.39,79.6,79.76,79.39
48,2022-02-04 13:00:00+00:00,760.31,79.6,78.81,79.69,78.56
49,2022-02-04 14:00:00+00:00,963.61,78.85,79.45,79.45,78.49
50,2022-02-04 15:00:00+00:00,893.15,79.45,79.2,79.46,78.84
