,time,volume,open,close,high,low
0,2022-02-01 07:00:00+00:00,2,13.1,13.22,13.22,13.1
1,2022-02-01 08:00:00+00:00,8375,13.34,13.22,13.4,13.22
2,2022-02-01 09:00:00+00:00,149,13.26,13.23,13.37,13.23
3,2022-02-01 10:00:00+00:00,175,13.25,13.21,13.25,13.14
4,2022-02-01 11:00:00+00:00,13,13.25,13.26,13.26,13.24
5,2022-02-01 12:00:00+00:00,119,13.26,13.22,13.28,13.22
6,2022-02-01 13:00:00+00:00,628,13.22,13.37,13.38,13.22
7,2022-02-01 14:00:00+00:00,39,13.37,13.33,13.38,13.29
8,2022-02-01 15:00:00+00:00,924,13.25,13.37,13.38,13.21
9,2022-02-01 16:00:00+00:00,4672,13.36,13.4,13.41,13.36
10,2022-02-02 07:00:00+00:00,111,13.47,13.41,13.5,13.41
11,2022-02-02 08:00:00+00:00,1722,13.42,13.61,13.71,13.42
12,2022-02-02 09:00:00+00:00,14,13.65,13.57,13.65,13.57
13,2022-02-02 10:00:00+00:00,970,13.56,13.6,13.6,13.51
14,2022-02-02 11:00:00+00:00,1653,13.6,13.66,13.68,13.54
15,2022-02-02 12:00:00+00:00,108,13.67,13.7,13.72,13.67
16,2022-02-02 13:00:00+00:00,303,13.69,13.6,13.69,13.6
17,2022-02-02 14:00:00+00:00,2671,13.61,13.63,13.63,13.53
18,2022-02-02 15:00:00+00:00,171,13.62,13.66,13.66,13.59
19,2022-02-02 16:00:00+00:00,1937,13.6,13.51,13.66,13.51
20,2022-02-03 07:00:00+00:00,17,13.49,13.4,13.49,13.4
21,2022-02-03 08:00:00+00:00,3557,13.49,13.8,13.85,13.49
22,2022-02-03 09:00:00+00:00,4332,13.83,13.69,13.91,13.68
23,2022-02-03 10:00:00+00:00,374,13.67,13.72,13.75,13.67
24,2022-02-03 11:00:00+00:00,403,13.7,13.73,13.77,13.67
25,2022-02-03 12:00:00+00:00,63,13.72,13.77,13.78,13.72
26,2022-02-03 13:00:00+00:00,1388,13.8,13.66,13.8,13.65
27,2022-02-03 14:00:00+00:00,693,13.72,13.61,13.72,13.55
28,2022-02-03 15:00:00+00:00,144,13.65,13.69,13.74,13.65
29,2022-02-03 16:00:00+00:00,2676,13.68,13.73,13.73,13.68
30,2022-02-04 07:00:00+00:00,6,13.73,13.61,13.73,13.6
31,2022-02-04 08:00:00+00:00,4706,13.91,14.09,14.25,13.88
32,2022-02-04 09:00:00+00:00,2280,14.03,14.09,14.19,14.0
33,2022-02-04 10:00:00+00:00,1682,14.08,14.05,14.14,14.02
34,2022-02-04 11:00:00+00:00,970,14.05,14.05,14.11,14.02
35,2022-02-04 12:00:00+00:00,5003,14.07,14.07,14.12,14.05
36,2022-02-04 13:00:00+00:00,6299,14.07,13.99,14.12,13.91
37,2022-02-04 14:00:00+00:00,3126,13.96,14.1,14.1,13.92
38,2022-02-04 15:00:00+00:00,4200,14.09,14.09,14.1,14.02
39,2022-02-07 07:00:00+00:00,52,14.2,14.26,14.3,14.16
40,2022-02-07 08:00:00+00:00,2169,14.3,14.18,14.3,14.11
41,2022-02-07 09:00:00+00:00,911,14.14,14.16,14.17,14.05
42,2022-02-07 10:00:00+00:00,1396,14.15,14.23,14.25,14.14
43,2022-02-07 11:00:00+00:00,729,14.21,14.25,14.3,14.19
44,2022-02-07 12:00:00+00:00,231,14.25,14.2,14.29,14.2
45,2022-02-07 13:00:00+00:00,340,14.19,14.1,14.26,14.1
46,2022-02-07 14:00:00+00:00,1608,14.08,14.09,14.09,13.99
47,2022-02-07 15:00:00+00:00,976,14.09,14.22,14.22,14.05
48,2022-02-07 16:00:00+00:00,1143,14.22,14.25,14.28,14.22
49,2022-02-08 07:00:00+00:00,21,14.1,14.3,14.5,14.1
50,2022-02-08 08:00:00+00:00,2281,14.3,14.5,14.56,14.3
51,2022-02-08 09:00:00+00:00,166,14.46,14.51,14.52,14.43
52,2022-02-08 10:00:00+00:00,201,14.54,14.59,14.62,14.51
53,2022-02-08 11:00:00+00:00,691,14.59,14.6,14.63,14.55
54,2022-02-08 12:00:00+00:00,423,14.57,14.54,14.57,14.5
55,2022-02-08 13:00:00+00:00,1940,14.55,14.43,14.56,14.39
56,2022-02-08 14:00:00+00:00,96,14.44,14.48,14.57,14.44
57,2022-02-08 15:00:00+00:00,1822,14.48,14.5,14.52,14.48
58,2022-02-08 16:00:00+00:00,2561,14.48,14.45,14.51,14.43
59,2022-02-09 07:00:00+00:00,12,14.4,14.45,14.45,14.4
60,2022-02-09 08:00:00+00:00,3149,14.72,14.65,14.75,14.61
61,2022-02-09 09:00:00+00:00,525,14.63,14.63,14.69,14.6
62,2022-02-09 10:00:00+00:00,85,14.64,14.62,14.66,14.57
63,2022-02-09 11:00:00+00:00,29,14.68,14.65,14.68,14.65
64,2022-02-09 12:00:00+00:00,309,14.66,14.63,14.66,14.58
65,2022-02-09 13:00:00+00:00,213,14.64,14.6,14.64,14.58
66,2022-02-09 14:00:00+00:00,401,14.6,14.63,14.65,14.58
67,2022-02-09 15:00:00+00:00,870,14.64,14.91,14.92,14.64
68,2022-02-09 16:00:00+00:00,2531,14.91,14.93,14.93,14.83
69,2022-02-10 07:00:00+00:00,72,14.98,14.51,14.98,14.5
70,2022-02-10 08:00:00+00:00,1412,14.56,14.84,15.33,14.56
71,2022-02-10 09:00:00+00:00,170,14.87,14.87,14.93,14.84
72,2022-02-10 10:00:00+00:00,9,14.87,14.86,14.88,14.83
73,2022-02-10 11:00:00+00:00,48,14.83,14.86,14.89,14.82
74,2022-02-10 12:00:00+00:00,99,14.89,14.98,15.01,14.87
75,2022-02-10 13:00:00+00:00,204,15.01,14.96,15.04,14.96
76,2022-02-10 14:00:00+00:00,352,14.93,14.88,14.93,14.85
77,2022-02-10 15:00:00+00:00,196,14.93,14.78,14.96,14.78
78,2022-02-10 16:00:00+00:00,5396,14.78,14.93,15.0,14.78
79,2022-02-11 07:00:00+00:00,2,14.99,14.99,14.99,14.99
80,2022-02-11 08:00:00+00:00,187,14.8,14.68,14.86,14.6
81,2022-02-11 09:00:00+00:00,581,14.68,14.48,14.68,14.48
82,2022-02-11 10:00:00+00:00,78,14.52,14.6,14.65,14.52
83,2022-02-11 11:00:00+00:00,62,14.6,14.53,14.64,14.53
84,2022-02-11 12:00:00+00:00,90,14.53,14.64,14.68,14.53
85,2022-02-11 13:00:00+00:00,32,14.64,14.62,14.68,14.62
86,2022-02-11 14:00:00+00:00,605,14.59,14.36,14.65,14.36
87,2022-02-11 15:00:00+00:00,214,14.43,14.43,14.43,14.2
88,2022-02-11 16:00:00+00:00,409,14.43,14.47,14.47,14.42
89,2022-02-14 07:00:00+00:00,54,14.25,14.19,14.3,14.02
90,2022-02-14 08:00:00+00:00,530,14.15,13.85,14.34,13.84
91,2022-02-14 09:00:00+00:00,89,13.84,13.8,13.99,13.8
92,2022-02-14 10:00:00+00:00,28,13.8,14.0,14.0,13.8
93,2022-02-14 11:00:00+00:00,48,13.95,14.02,14.02,13.95
94,2022-02-14 12:00:00+00:00,39,13.94,13.98,14.01,13.86
95,2022-02-14 13:00:00+00:00,58,14.01,13.99,14.01,13.97
96,2022-02-14 14:00:00+00:00,1148,14.0,13.98,14.07,13.98
97,2022-02-14 15:00:00+00:00,14,14.0,14.02,14.03,13.94
98,2022-02-14 16:00:00+00:00,962,14.01,14.2,14.2,13.98
99,2022-02-15 07:00:00+00:00,4,14.21,13.95,14.21,13.95
100,2022-02-15 08:00:00+00:00,1568,14.08,14.49,14.49,14.08
101,2022-02-15 09:00:00+00:00,410,14.49,14.52,14.65,14.49
102,2022-02-15 10:00:00+00:00,39,14.55,14.48,14.58,14.48
103,2022-02-15 11:00:00+00:00,354,14.49,14.65,14.68,14.49
104,2022-02-15 12:00:00+00:00,150,14.66,14.67,14.7,14.66
105,2022-02-15 13:00:00+00:00,131,14.73,14.77,14.77,14.63
106,2022-02-15 14:00:00+00:00,94,14.75,14.87,14.9,14.72
107,2022-02-15 15:00:00+00:00,310,14.87,15.08,15.08,14.87
108,2022-02-15 16:00:00+00:00,630,15.04,15.05,15.1,14.94
109,2022-02-16 07:00:00+00:00,33,15.25,15.12,15.25,15.0
110,2022-02-16 08:00:00+00:00,399,15.18,15.38,15.38,15.06
111,2022-02-16 09:00:00+00:00,156,15.38,15.31,15.45,15.31
112,2022-02-16 10:00:00+00:00,222,15.31,15.3,15.35,15.12
113,2022-02-16 11:00:00+00:00,144,15.29,15.4,15.4,15.29
114,2022-02-16 12:00:00+00:00,120,15.4,15.35,15.42,15.31
115,2022-02-16 13:00:00+00:00,206,15.38,15.47,15.48,15.38
116,2022-02-16 14:00:00+00:00,213,15.5,15.61,15.61,15.49
117,2022-02-16 15:00:00+00:00,3744,15.61,15.53,15.69,15.52
118,2022-02-16 16:00:00+00:00,1263,15.61,15.58,15.64,15.56
119,2022-02-17 07:00:00+00:00,16,15.57,15.5,15.57,15.49
120,2022-02-17 08:00:00+00:00,441,15.27,14.84,15.27,14.69
121,2022-02-17 09:00:00+00:00,212,14.92,14.99,15.05,14.87
122,2022-02-17 10:00:00+00:00,3112,14.99,15.1,15.1,14.96
123,2022-02-17 11:00:00+00:00,47,15.08,14.93,15.08,14.89
124,2022-02-17 12:00:00+00:00,8,15.06,15.09,15.09,15.06
125,2022-02-17 13:00:00+00:00,27,15.03,14.85,15.03,14.85
126,2022-02-17 14:00:00+00:00,58,15.01,14.7,15.02,14.7
127,2022-02-17 15:00:00+00:00,167,14.68,14.71,14.72,14.5
128,2022-02-17 16:00:00+00:00,1817,14.69,14.79,14.79,14.69
129,2022-02-18 07:00:00+00:00,9,15.01,14.8,15.01,14.8
130,2022-02-18 08:00:00+00:00,97,14.86,14.75,14.86,14.61
131,2022-02-18 09:00:00+00:00,12,14.8,14.84,14.86,14.8
132,2022-02-18 10:00:00+00:00,98,14.86,14.7,14.86,14.7
133,2022-02-18 11:00:00+00:00,187,14.63,14.5,14.65,14.5
