,time,volume,open,close,high,low
0,2022-02-01 07:00:00+00:00,34320,13.94,13.74,14.14,13.73
1,2022-02-01 08:00:00+00:00,26215,13.79,13.8,13.93,13.78
2,2022-02-01 09:00:00+00:00,19728,13.81,13.83,13.9,13.75
3,2022-02-01 10:00:00+00:00,10097,13.83,13.89,13.93,13.79
4,2022-02-01 11:00:00+00:00,21303,13.89,13.94,13.95,13.85
5,2022-02-01 12:00:00+00:00,14957,13.92,13.79,13.94,13.79
6,2022-02-01 13:00:00+00:00,4971,13.79,13.84,13.86,13.79
7,2022-02-01 14:00:00+00:00,16566,13.84,13.83,13.88,13.75
8,2022-02-01 15:00:00+00:00,13801,13.81,13.76,13.83,13.72
9,2022-02-01 16:00:00+00:00,13306,13.79,13.78,13.82,13.64
10,2022-02-02 07:00:00+00:00,8532,13.89,13.83,14.15,13.72
11,2022-02-02 08:00:00+00:00,29992,13.78,13.63,13.79,13.55
12,2022-02-02 09:00:00+00:00,27886,13.63,13.41,13.65,13.4
13,2022-02-02 10:00:00+00:00,20883,13.41,13.67,13.73,13.38
14,2022-02-02 11:00:00+00:00,15260,13.66,13.73,13.77,13.63
15,2022-02-02 12:00:00+00:00,22355,13.73,13.79,13.9,13.7
16,2022-02-02 13:00:00+00:00,7051,13.8,13.68,13.86,13.66
17,2022-02-02 14:00:00+00:00,20844,13.66,13.54,13.68,13.49
18,2022-02-02 15:00:00+00:00,19068,13.51,13.49,13.54,13.45
19,2022-02-02 16:00:00+00:00,14126,13.49,13.4,13.49,13.4
20,2022-02-03 07:00:00+00:00,24446,13.45,13.16,13.45,13.15
21,2022-02-03 08:00:00+00:00,33768,13.15,13.16,13.3,13.08
22,2022-02-03 09:00:00+00:00,14595,13.15,13.06,13.23,13.04
23,2022-02-03 10:00:00+00:00,10815,13.06,13.12,13.17,13.04
24,2022-02-03 11:00:00+00:00,20351,13.12,13.21,13.27,13.12
25,2022-02-03 12:00:00+00:00,12163,13.21,13.25,13.32,13.2
26,2022-02-03 13:00:00+00:00,7302,13.26,13.18,13.28,13.14
27,2022-02-03 14:00:00+00:00,10682,13.2,13.16,13.27,13.15
28,2022-02-03 15:00:00+00:00,4441,13.22,13.23,13.27,13.14
29,2022-02-03 16:00:00+00:00,5864,13.23,13.3,13.3,13.21
30,2022-02-04 07:00:00+00:00,4875,13.4,13.44,13.45,13.27
31,2022-02-04 08:00:00+00:00,14893,13.44,13.52,13.65,13.39
32,2022-02-04 09:00:00+00:00,5392,13.52,13.54,13.59,13.49
33,2022-02-04 10:00:00+00:00,8094,13.54,13.49,13.56,13.43
34,2022-02-04 11:00:00+00:00,5124,13.5,13.47,13.51,13.44
35,2022-02-04 12:00:00+00:00,2504,13.49,13.49,13.54,13.46
36,2022-02-04 13:00:00+00:00,6907,13.49,13.4,13.49,13.33
37,2022-02-04 14:00:00+00:00,6349,13.37,13.46,13.54,13.36
38,2022-02-04 15:00:00+00:00,8101,13.45,13.4,13.47,13.37
39,2022-02-07 07:00:00+00:00,6499,13.68,13.75,13.85,13.45
40,2022-02-07 08:00:00+00:00,12922,13.75,13.55,13.8,13.51
41,2022-02-07 09:00:00+00:00,10211,13.55,13.46,13.57,13.37
42,2022-02-07 10:00:00+00:00,4094,13.44,13.52,13.56,13.4
43,2022-02-07 11:00:00+00:00,4921,13.53,13.63,13.66,13.51
44,2022-02-07 12:00:00+00:00,2263,13.62,13.63,13.66,13.6
45,2022-02-07 13:00:00+00:00,2305,13.62,13.56,13.64,13.55
46,2022-02-07 14:00:00+00:00,2034,13.55,13.55,13.58,13.52
47,2022-02-07 15:00:00+00:00,2143,13.55,13.56,13.57,13.45
48,2022-02-07 16:00:00+00:00,8668,13.56,13.6,13.6,13.54
49,2022-02-08 07:00:00+00:00,13856,13.7,13.81,14.0,13.69
50,2022-02-08 08:00:00+00:00,13615,13.76,13.94,13.94,13.72
51,2022-02-08 09:00:00+00:00,20795,13.94,14.1,14.15,13.87
52,2022-02-08 10:00:00+00:00,32436,14.11,14.19,14.25,14.03
53,2022-02-08 11:00:00+00:00,22988,14.18,14.19,14.28,14.16
54,2022-02-08 12:00:00+00:00,96875,14.2,14.15,14.22,14.06
55,2022-02-08 13:00:00+00:00,24900,14.17,14.04,14.19,14.01
56,2022-02-08 14:00:00+00:00,21109,14.03,14.24,14.26,14.03
57,2022-02-08 15:00:00+00:00,22916,14.22,14.41,14.45,14.03
58,2022-02-08 16:00:00+00:00,20419,14.4,14.32,14.42,14.32
59,2022-02-09 07:00:00+00:00,33382,14.45,14.7,14.95,14.45
60,2022-02-09 08:00:00+00:00,30008,14.7,14.87,14.89,14.7
61,2022-02-09 09:00:00+00:00,24761,14.86,14.83,14.96,14.77
62,2022-02-09 10:00:00+00:00,17171,14.83,14.91,14.99,14.79
63,2022-02-09 11:00:00+00:00,14768,14.91,14.95,14.98,14.89
64,2022-02-09 12:00:00+00:00,17485,14.94,14.9,14.97,14.76
65,2022-02-09 13:00:00+00:00,16288,14.91,14.96,14.96,14.79
66,2022-02-09 14:00:00+00:00,24971,14.95,14.91,14.96,14.89
67,2022-02-09 15:00:00+00:00,10718,14.92,14.97,14.98,14.9
68,2022-02-09 16:00:00+00:00,6632,14.97,14.95,14.97,14.91
69,2022-02-10 07:00:00+00:00,24478,14.77,14.77,15.09,14.6
70,2022-02-10 08:00:00+00:00,58194,14.79,14.75,14.94,14.72
71,2022-02-10 09:00:00+00:00,12318,14.75,14.86,14.89,14.75
72,2022-02-10 10:00:00+00:00,20808,14.87,14.84,14.9,14.81
73,2022-02-10 11:00:00+00:00,10811,14.83,14.88,14.93,14.8
74,2022-02-10 12:00:00+00:00,23937,14.88,15.06,15.09,14.88
75,2022-02-10 13:00:00+00:00,24586,15.07,15.01,15.25,14.93
76,2022-02-10 14:00:00+00:00,26358,14.99,15.04,15.08,14.85
77,2022-02-10 15:00:00+00:00,13373,15.04,15.15,15.17,15.02
78,2022-02-10 16:00:00+00:00,14455,15.16,15.12,15.28,15.05
79,2022-02-11 07:00:00+00:00,58388,15.1,14.53,15.1,14.11
80,2022-02-11 08:00:00+00:00,63104,14.53,14.36,14.66,14.3
81,2022-02-11 09:00:00+00:00,17811,14.4,14.28,14.41,14.25
82,2022-02-11 10:00:00+00:00,16960,14.28,14.4,14.5,14.26
83,2022-02-11 11:00:00+00:00,12278,14.41,14.28,14.43,14.21
84,2022-02-11 12:00:00+00:00,10082,14.28,14.35,14.4,14.22
85,2022-02-11 13:00:00+00:00,7779,14.36,14.33,14.43,14.31
86,2022-02-11 14:00:00+00:00,44771,14.33,14.11,14.33,14.09
87,2022-02-11 15:00:00+00:00,21726,14.12,14.12,14.15,14.05
88,2022-02-11 16:00:00+00:00,42489,14.12,14.17,14.18,14.07
89,2022-02-14 07:00:00+00:00,41373,14.03,13.69,14.03,13.3
90,2022-02-14 08:00:00+00:00,78485,13.69,13.1,13.69,13.09
91,2022-02-14 09:00:00+00:00,56804,13.13,12.97,13.26,12.88
92,2022-02-14 10:00:00+00:00,54618,12.97,12.92,13.17,12.88
93,2022-02-14 11:00:00+00:00,57774,12.93,12.97,13.04,12.78
94,2022-02-14 12:00:00+00:00,93426,12.96,13.36,13.59,12.88
95,2022-02-14 13:00:00+00:00,50720,13.37,13.44,13.63,13.34
96,2022-02-14 14:00:00+00:00,31402,13.43,13.63,13.64,13.3
97,2022-02-14 15:00:00+00:00,13525,13.64,13.38,13.64,13.37
98,2022-02-14 16:00:00+00:00,78289,13.4,13.53,13.53,13.32
99,2022-02-15 07:00:00+00:00,32123,13.72,13.71,14.15,13.71
100,2022-02-15 08:00:00+00:00,138188,13.72,14.46,14.49,13.59
101,2022-02-15 09:00:00+00:00,53592,14.47,14.35,14.65,14.35
102,2022-02-15 10:00:00+00:00,34633,14.39,14.18,14.53,14.13
103,2022-02-15 11:00:00+00:00,18731,14.19,14.27,14.39,14.16
104,2022-02-15 12:00:00+00:00,25930,14.26,14.48,14.54,14.19
105,2022-02-15 13:00:00+00:00,27216,14.48,14.41,14.51,14.39
106,2022-02-15 14:00:00+00:00,30973,14.4,14.51,14.62,14.38
107,2022-02-15 15:00:00+00:00,46130,14.5,14.73,14.75,14.46
108,2022-02-15 16:00:00+00:00,36468,14.73,14.79,14.79,14.54
109,2022-02-16 07:00:00+00:00,50138,14.85,15.21,15.48,14.85
110,2022-02-16 08:00:00+00:00,38088,15.21,15.25,15.4,15.11
111,2022-02-16 09:00:00+00:00,89284,15.26,14.85,15.31,14.81
112,2022-02-16 10:00:00+00:00,26432,14.83,14.97,14.97,14.78
113,2022-02-16 11:00:00+00:00,9912,14.96,15.06,15.06,14.89
114,2022-02-16 12:00:00+00:00,13234,15.05,14.84,15.09,14.82
115,2022-02-16 13:00:00+00:00,38965,14.83,14.76,14.91,14.75
116,2022-02-16 14:00:00+00:00,17752,14.76,14.81,14.84,14.69
117,2022-02-16 15:00:00+00:00,10908,14.81,14.92,14.95,14.76
118,2022-02-16 16:00:00+00:00,5936,14.92,14.9,14.96,14.9
119,2022-02-17 07:00:00+00:00,37800,14.6,14.26,14.6,14.2
120,2022-02-17 08:00:00+00:00,68964,14.26,14.0,14.45,13.85
121,2022-02-17 09:00:00+00:00,41479,14.01,14.14,14.46,13.95
